LEMMA,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus
allikapesu,inf,0.0030627871362940277,0.0
valeuudine,inf,0.004594180704441042,0.0
teabe,16.216731495560197,0.004594180704441042,6.032335138743862e-08
silverman,14.179256790141533,0.0030627871362940277,1.6509548800772675e-07
roonemaa,12.68329929547912,0.007656967840735069,1.1641348513365348e-06
klaassen,12.453431753580526,0.004594180704441042,8.19127613576798e-07
valeuudis,12.121251186705967,0.007656967840735069,1.7186863623368477e-06
valeinfo,10.137480653429215,0.004594180704441042,4.078705197319096e-06
halvustama,9.272982862651354,0.0030627871362940277,4.950748031411191e-06
ingl,8.159594787666556,0.0030627871362940277,1.0711098936706426e-05
termin,7.834107468985279,0.006125574272588055,2.6843891367410184e-05
veenma,7.202637592570677,0.0030627871362940277,2.0792506749280816e-05
avaldamine,7.17617739720956,0.004594180704441042,3.1766065179743114e-05
kommunikatsioon,6.965373670004041,0.0030627871362940277,2.450927183827528e-05
päevaleht,6.8655597712922924,0.0030627871362940277,2.6264998854972836e-05
levima,6.8200140610349855,0.006125574272588055,5.4214818331152725e-05
ajakirjandus,6.5323827309232305,0.004594180704441042,4.963236023452801e-05
usaldusväärne,6.079740383479966,0.0030627871362940277,4.5282729108170585e-05
süüria,6.046905366409385,0.0030627871362940277,4.632515895232194e-05
ajakirjanik,5.996289521894255,0.006125574272588055,9.595857749126025e-05
selgitus,5.7561678228392665,0.0030627871362940277,5.66679679542419e-05
ühendriik,5.649450856751235,0.0030627871362940277,6.101865738500962e-05
uudis,5.624340030868582,0.009188361408882083,0.000186270042649128
ekspert,5.420969502621917,0.0030627871362940277,7.148952122057659e-05
eriala,5.2835844186904595,0.0030627871362940277,7.86320176857314e-05
kippuma,5.056578098855142,0.0030627871362940277,9.20312098246149e-05
allikas,4.806056997999395,0.0030627871362940277,0.00010948370785497018
näiteks,4.79093034954859,0.007656967840735069,0.00027659420745991943
meedia,4.737842157530215,0.0030627871362940277,0.00011478475464619263
sõda,4.656071841701814,0.0030627871362940277,0.0001214785300413777
ameerika,4.488408159837389,0.0030627871362940277,0.00013644930422956555
sõnama,4.287103212535633,0.0030627871362940277,0.00015688092917493204
venemaa,4.219296642014976,0.006125574272588055,0.0003288606873716989
ülikool,4.207662575478426,0.006125574272588055,0.00033152338126802867
oskus,4.134197245260537,0.0030627871362940277,0.0001744212664713427
seisukoht,4.111236465389066,0.0030627871362940277,0.0001772194233321916
selguma,3.875124893114968,0.0030627871362940277,0.00020873149545346128
mõju,3.7863408457535903,0.0030627871362940277,0.00022198040836608136
soovitama,3.598180969659351,0.004594180704441042,0.00037935662400503657
nõukogu,3.537830256970467,0.0030627871362940277,0.0002637082929600343
noor,3.3756016976483614,0.006125574272588055,0.0005901867371041345
tartu,3.2008602854570127,0.006125574272588055,0.0006661804018949732
ajal,3.187684980050645,0.0030627871362940277,0.000336146054932245
liit,2.6218329778100657,0.0030627871362940277,0.0004975840428979544
töötama,2.5457433762472417,0.0030627871362940277,0.0005245316480975746
eesti,2.508693213572389,0.018376722817764167,0.003229060317766715
sõna,2.323311867457223,0.004594180704441042,0.0009179552543243977
mõte,2.276420313534503,0.0030627871362940277,0.0006321876642359464
teema,2.167890641501667,0.0030627871362940277,0.000681579789369335
kasutama,1.9915785738290848,0.006125574272588055,0.0015403588942870658
euroopa,1.7244384996824669,0.0030627871362940277,0.0009268492445886088
ütlema,1.3004927126452532,0.004594180704441042,0.0018651800337246267
inimene,1.1924244940241775,0.006125574272588055,0.0026803485305024704
kaks,1.1172701300832588,0.0030627871362940277,0.0014118384066995123
aasta,0.8346351032670599,0.007656967840735069,0.004293452095040735
suur,0.8163119607288389,0.0030627871362940277,0.001739331764773096
võtma,0.43575135373210916,0.0030627871362940277,0.0022643449413773595
