LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudine,85.11012830570517,2.822013084409813e-20,0.004594180704441042,0.0
roonemaa,77.89276582339423,1.087890828728938e-18,0.007656967840735069,1.1641348513365348e-06
valeuudis,74.0049840491658,7.792004472760739e-18,0.007656967840735069,1.7186863623368477e-06
teabe,61.28837788647016,4.929818205463068e-15,0.004594180704441042,6.032335138743862e-08
allikapesu,56.740085537136785,4.973922954745759e-14,0.0030627871362940277,0.0
klaassen,45.781827663580984,1.3218410977189433e-11,0.004594180704441042,8.19127613576798e-07
valeinfo,36.163593100585956,1.8142853293732827e-09,0.004594180704441042,4.078705197319096e-06
termin,35.475948915935476,2.5821934285863226e-09,0.006125574272588055,2.6843891367410184e-05
silverman,35.28793369934344,2.8438855393646614e-09,0.0030627871362940277,1.6509548800772675e-07
uudis,35.02501756954024,3.2549634668029275e-09,0.009188361408882083,0.000186270042649128
levima,29.88868587807241,4.575751686318497e-08,0.006125574272588055,5.4214818331152725e-05
ajakirjanik,25.375640337246384,4.7183886372286176e-07,0.006125574272588055,9.595857749126025e-05
avaldamine,23.886073563571934,1.0220849141444043e-06,0.004594180704441042,3.1766065179743114e-05
näiteks,23.56934180697999,1.2049210021614987e-06,0.007656967840735069,0.00027659420745991943
eesti,21.95056777752852,2.797641209448281e-06,0.018376722817764167,0.003229060317766715
halvustama,21.715781201057723,3.161795174769547e-06,0.0030627871362940277,4.950748031411191e-06
ajakirjandus,21.23204811841876,4.069035570454888e-06,0.004594180704441042,4.963236023452801e-05
ingl,18.63679674916362,1.5813862976208837e-05,0.0030627871362940277,1.0711098936706426e-05
veenma,15.996905941746343,6.344608842041299e-05,0.0030627871362940277,2.0792506749280816e-05
venemaa,15.826194519494406,6.943457565925221e-05,0.006125574272588055,0.0003288606873716989
ülikool,15.765159446688793,7.171099320371468e-05,0.006125574272588055,0.00033152338126802867
kommunikatsioon,15.343955631828859,8.960714517322916e-05,0.0030627871362940277,2.450927183827528e-05
päevaleht,15.06951726567903,0.00010362320388989018,0.0030627871362940277,2.6264998854972836e-05
usaldusväärne,12.91566812675583,0.0003258430751900531,0.0030627871362940277,4.5282729108170585e-05
süüria,12.825993645196009,0.0003418369216572998,0.0030627871362940277,4.632515895232194e-05
selgitus,12.03342239260138,0.0005225504273052136,0.0030627871362940277,5.66679679542419e-05
ühendriik,11.743227460592976,0.0006106503776186783,0.0030627871362940277,6.101865738500962e-05
noor,11.489070845509675,0.0007000662542323847,0.006125574272588055,0.0005901867371041345
ekspert,11.123427739404844,0.0008524410464027811,0.0030627871362940277,7.148952122057659e-05
eriala,10.751848880851163,0.0010417519228951158,0.0030627871362940277,7.86320176857314e-05
tartu,10.619349672885678,0.0011191039813280546,0.006125574272588055,0.0006661804018949732
kippuma,10.139960895528471,0.0014508924119811162,0.0030627871362940277,9.20312098246149e-05
allikas,9.468169203412065,0.0020906792310931605,0.0030627871362940277,0.00010948370785497018
soovitama,9.459832584144781,0.002100202397126788,0.004594180704441042,0.00037935662400503657
meedia,9.285962456375742,0.0023091656262991347,0.0030627871362940277,0.00011478475464619263
sõda,9.06799110071459,0.002601226846739286,0.0030627871362940277,0.0001214785300413777
ameerika,8.622684314867518,0.0033200222956944487,0.0030627871362940277,0.00013644930422956555
sõnama,8.091236221648739,0.004447981215495293,0.0030627871362940277,0.00015688092917493204
oskus,7.690201247344547,0.005552143614833699,0.0030627871362940277,0.0001744212664713427
seisukoht,7.630195222804458,0.005739908933990118,0.0030627871362940277,0.0001772194233321916
selguma,7.016713298480056,0.008075232425640967,0.0030627871362940277,0.00020873149545346128
mõju,6.787855934757923,0.009178007521193382,0.0030627871362940277,0.00022198040836608136
nõukogu,6.153337894995568,0.013116431996134666,0.0030627871362940277,0.0002637082929600343
ajal,5.277136192781457,0.02160725947393656,0.0030627871362940277,0.000336146054932245
kasutama,5.055359143219083,0.024549893566517215,0.006125574272588055,0.0015403588942870658
sõna,4.861225341346164,0.027466821809314597,0.004594180704441042,0.0009179552543243977
liit,3.919103338112762,0.047740336858232965,0.0030627871362940277,0.0004975840428979544
töötama,3.743332164201769,0.053018614519000785,0.0030627871362940277,0.0005245316480975746
mõte,3.1372101607739635,0.07652459991194216,0.0030627871362940277,0.0006321876642359464
teema,2.9008085943677844,0.08853513072140881,0.0030627871362940277,0.000681579789369335
inimene,2.1127385912559182,0.1460776937881641,0.006125574272588055,0.0026803485305024704
euroopa,1.9916216285538435,0.15817142707611911,0.0030627871362940277,0.0009268492445886088
ütlema,1.8445204650184168,0.17442204399548258,0.004594180704441042,0.0018651800337246267
aasta,1.3924969329857175,0.23798387966181622,0.007656967840735069,0.004293452095040735
kaks,0.9415906503599518,0.3318691025571159,0.0030627871362940277,0.0014118384066995123
suur,0.5348641666198786,0.46456901102995407,0.0030627871362940277,0.001739331764773096
võtma,0.16539365566253994,0.6842384860308253,0.0030627871362940277,0.0022643449413773595
