SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudiste,102.68232334123319,3.934394086447334e-24,0.009188361408882083,6.466239946969297e-07
roonemaa,78.19661153760504,9.327839110668846e-19,0.007656967840735069,1.1292108057964387e-06
allikapesu,56.740085537136785,4.973922954745759e-14,0.0030627871362940277,0.0
silverman,36.073641618917634,1.899995712527816e-09,0.0030627871362940277,1.354629645191604e-07
klaassen,29.593397356363447,5.328614177269869e-08,0.0030627871362940277,6.889561711091673e-07
valeinfo,25.312656929040735,4.874993363932994e-07,0.0030627871362940277,2.0118366839915932e-06
termini,23.626817113342298,1.169463227487298e-06,0.0030627871362940277,3.0680244854769218e-06
teabe,22.20998965960883,2.44398877595765e-06,0.004594180704441042,4.209829113756001e-05
levivad,20.76773209790875,5.184925444311686e-06,0.0030627871362940277,6.27786176193484e-06
ülikooli,19.664611815709712,9.229483792271051e-06,0.006125574272588055,0.00019927237063414679
venemaa,19.05195096094984,1.2720765684352192e-05,0.006125574272588055,0.00021571101303942896
kommunikatsiooni,18.680352310241684,1.545670031969491e-05,0.0030627871362940277,1.0594685451572772e-05
ingl,18.643496940466356,1.57583855413338e-05,0.0030627871362940277,1.0693107761731224e-05
veenda,18.397628299404346,1.792809910468321e-05,0.0030627871362940277,1.1373597497557944e-05
ajakirjanduse,17.72277519892457,2.5554859451898802e-05,0.0030627871362940277,1.347327344760493e-05
süüria,14.894054262341054,0.00011372084921512681,0.0030627871362940277,2.7453474707746405e-05
ajakirjanik,14.57248100250004,0.0001348698423859757,0.0030627871362940277,2.9774336279547333e-05
oskus,14.3166115978684,0.00015449551224146609,0.0030627871362940277,3.176183196210189e-05
eesti,12.884343635472554,0.00033134232768096156,0.01225114854517611,0.0024630288947593763
tartu,12.587723064876815,0.00038828889347987947,0.006125574272588055,0.0005075617368783188
eestis,12.248017654118565,0.00046575269710336933,0.006125574272588055,0.0005316667364318572
näiteks,12.128689926697545,0.000496519884518364,0.007656967840735069,0.000947950776225699
uudised,11.59040249371033,0.0006629306245819055,0.0030627871362940277,6.344534939784114e-05
selgus,9.75239554133643,0.001790891871134816,0.0030627871362940277,0.00010171575348332457
nõukogude,9.567805807173226,0.0019801931615946937,0.0030627871362940277,0.0001066929591249934
ameerika,9.51465172005049,0.0020383778825733448,0.0030627871362940277,0.00010817246869060111
töötab,8.545634683071071,0.00346351816520374,0.0030627871362940277,0.00013922946991543923
sõnas,8.512209743642966,0.003527714190410018,0.0030627871362940277,0.0001404539281181632
sõna,7.238119398359784,0.0071371697677859525,0.0030627871362940277,0.00019671868209207856
aastal,6.631672639289851,0.010018114912407455,0.006125574272588055,0.0011956680895460106
kaks,2.583136501100794,0.10800745519815275,0.0030627871362940277,0.0007560886530725144
euroopa,2.4253681071885294,0.1193851945411631,0.0030627871362940277,0.0007971117069292035
ajal,1.93653611819976,0.16404513105705704,0.0030627871362940277,0.000945415078858606
